id,brand,size,color,gender,amount,typeJacket,kind,season,price,material,"jacketdatafull — копияcol"
1,ZARA,M,black,male,30,Outerwear,Classic,Winter,90990,polyester,NULL
2,H&M,XL,white,female,30,Outerwear,Oversize,Winter,45990,polyamide,NULL
3,Adidas,S,yellow,female,20,Outerwear,Sports,Winter,62990,polyamide,NULL
4,Adidas,XXS,red,female,12,Outerwear,Classic,Winter,90990,nylon,NULL
5,Adidas,XS,red,female,4,Outerwear,Oversize,Winter,45990,polyamide,NULL
6,Adidas,M,yellow,female,13,Outerwear,Sports,Winter,62990,nylon,NULL
7,Adidas,XL,red,female,15,Outerwear,Classic,Winter,90990,polyester,NULL
8,Adidas,L,black,male,14,Outerwear,Sports,Winter,62990,polyamide,NULL
9,Adidas,XXL,yellow,male,15,Outerwear,Oversize,Winter,45990,polyamide,NULL
10,Adidas,XXXL,red,male,31,Outerwear,Oversize,Winter,45990,nylon,NULL
11,Adidas,S,yellow,male,15,Outerwear,Oversize,Winter,45990,polyamide,NULL
12,Adidas,M,black,male,46,Outerwear,Oversize,Winter,45990,polyamide,NULL
13,H&M,XXS,yellow,female,23,Outerwear,Sports,Winter,62990,polyamide,NULL
14,H&M,XXS,yellow,female,34,Outerwear,Sports,Winter,62990,polyamide,NULL
15,H&M,S,red,female,54,Outerwear,Oversize,Winter,45990,nylon,NULL
16,H&M,XL,black,female,22,Outerwear,Oversize,Winter,45990,polyamide,NULL
17,H&M,XS,black,male,11,Outerwear,Sports,Winter,62990,polyamide,NULL
18,H&M,XXXL,black,male,2,Outerwear,Classic,Winter,90990,polyester,NULL
19,H&M,XXS,red,male,13,Outerwear,Sports,Winter,62990,nylon,NULL
20,H&M,XL,yellow,male,43,Outerwear,Classic,Winter,90990,polyester,NULL
21,H&M,S,red,male,22,Outerwear,Oversize,Winter,45990,polyamide,NULL
22,ZARA,M,red,female,11,Outerwear,Classic,Winter,90990,nylon,NULL
23,ZARA,S,yellow,female,33,Outerwear,Oversize,Winter,45990,polyamide,NULL
24,DIOR,S,red,female,22,Outerwear,Classic,Winter,90990,polyester,NULL
25,DIOR,XXS,red,female,4,Outerwear,Sports,Winter,62990,polyamide,NULL
26,DIOR,XL,red,male,55,Outerwear,Oversize,Winter,45990,polyamide,NULL
27,DIOR,L,red,male,66,Outerwear,Classic,Winter,90990,nylon,NULL
28,DIOR,XXS,yellow,female,7,Outerwear,Sports,Winter,62990,polyamide,NULL
29,DIOR,XXS,red,male,3,Outerwear,Oversize,Winter,45990,polyamide,NULL
30,DIOR,L,red,male,4,Outerwear,Sports,Winter,62990,nylon,NULL
31,DIOR,S,red,male,45,Outerwear,Sports,Winter,62990,polyamide,NULL
32,DIOR,XL,white,male,23,Outerwear,Sports,Winter,62990,polyamide,NULL
33,DIOR,XXS,white,male,23,Outerwear,Classic,Winter,90990,polyester,NULL
34,ZARA,S,white,female,45,Outerwear,Classic,Winter,90990,nylon,NULL
35,ZARA,M,white,female,32,Outerwear,Classic,Winter,90990,polyester,NULL
36,ZARA,XL,white,female,2,Outerwear,Classic,Winter,90990,polyester,NULL
37,ZARA,L,black,female,23,Outerwear,Classic,Winter,90990,polyester,NULL
38,ZARA,S,black,male,43,Outerwear,Sports,Winter,62990,nylon,NULL
39,ZARA,XL,red,male,22,Outerwear,Sports,Winter,62990,polyamide,NULL
40,ZARA,M,black,male,21,Outerwear,Classic,Winter,90990,nylon,NULL
41,DIOR,M,red,female,20,Outerwear,Sports,Winter,62990,nylon,NULL
42,PRADA,S,black,female,13,Outerwear,Classic,Winter,89990,nylon,NULL
43,PRADA,XS,white,female,14,Outerwear,Classic,Winter,89990,nylon,NULL
44,PRADA,XXS,red,female,13,Outerwear,Classic,Winter,89990,nylon,NULL
45,PRADA,L,black,female,14,Outerwear,Classic,Winter,89990,polyester,NULL
46,PRADA,L,white,female,14,Outerwear,Classic,Winter,89990,polyester,NULL
47,PRADA,S,white,male,14,Outerwear,Classic,Winter,89990,nylon,NULL
48,PRADA,XS,black,male,14,Outerwear,Classic,Winter,89990,nylon,NULL
49,PRADA,XXS,white,male,13,Outerwear,Classic,Winter,89990,polyester,NULL
50,PRADA,M,red,male,14,Outerwear,Classic,Winter,89990,polyester,NULL
51,PRADA,L,yellow,male,15,Outerwear,Classic,Winter,89990,nylon,NULL
52,FENDI,L,yellow,female,14,Outerwear,Oversize,Winter,79990,nylon,NULL
53,FENDI,S,yellow,female,13,Outerwear,Oversize,Winter,79990,polyamide,NULL
54,FENDI,XS,black,female,53,Outerwear,Oversize,Winter,79990,nylon,NULL
